Filed,Document,Total Pages,case_number
10/12/2023,Writ - Return,7.0,21CHLC31908
6/15/2023,Acknowledgment of Satisfaction of Judgment,1.0,21CHLC31908
3/10/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC31908
3/10/2023,Writ of Execution: (San Diego),3.0,21CHLC31908
3/2/2023,Judgment,3.0,21CHLC31908
3/2/2023,Minute Order: (Hearing on Ex Parte Application to Amend Judgment),1.0,21CHLC31908
2/23/2023,Ex Parte Application : to Amend Judgment,1.0,21CHLC31908
2/23/2023,Memorandum of Points & Authorities,1.0,21CHLC31908
2/23/2023,Declaration : OF FRANKLIN J. LOVE,1.0,21CHLC31908
1/12/2023,Certificate of Mailing for: Notice of Rejection of Electronic Filing,1.0,21CHLC31908
12/20/2022,Declaration : PLAINTIFF'S REQUEST FOR JUDGMENT NUNC PRO TUNC,1.0,21CHLC31908
9/13/2022,Notice of Entry of Judgment / Dismissal / Other Order: Notice of Entry of Amended Judgment (Civil Limited),2.0,21CHLC31908
9/13/2022,Judgment,2.0,21CHLC31908
9/13/2022,Judgment: Amended Judgment,1.0,21CHLC31908
9/12/2022,Proof of Service by Mail,1.0,21CHLC31908
9/9/2022,Order - Dismissal,2.0,21CHLC31908
9/9/2022,Minute Order: (Non-Jury Trial),1.0,21CHLC31908
8/30/2022,Request for Entry of Default / Judgment,2.0,21CHLC31908
8/26/2022,Proof of Personal Service,3.0,21CHLC31908
11/24/2021,Answer,6.0,21CHLC31908
11/24/2021,Proof of Service by Mail,1.0,21CHLC31908
11/24/2021,Order on Court Fee Waiver (Superior Court),3.0,21CHLC31908
11/24/2021,Notice of Trial,2.0,21CHLC31908
10/14/2021,Certificate of Mailing for: (Court Order) of 10/14/2021,1.0,21CHLC31908
10/14/2021,Minute Order: (Court Order),1.0,21CHLC31908
10/13/2021,Challenge To Judicial Officer - Peremptory (170.6),1.0,21CHLC31908
9/3/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC31908
9/3/2021,Summons: on Complaint,1.0,21CHLC31908
9/3/2021,Complaint,5.0,21CHLC31908
9/3/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC31908
9/3/2021,Civil Case Cover Sheet,6.0,21CHLC31908
