Filed,Document,Total Pages,case_number
1/12/2024,Proof of Personal Service: (Earnings Withholding Order),1,22NWLC08000
11/17/2023,Writ of Execution: (San Francisco),3,22NWLC08000
11/15/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2,22NWLC08000
6/26/2023,Abstract of Judgment - Civil and Small Claims,2,22NWLC08000
4/17/2023,Default Judgment,2,22NWLC08000
4/12/2023,"Notice : of Date, Time And Place of Continued Order to Show Cause",2,22NWLC08000
4/11/2023,Request for Entry of Default / Judgment,3,22NWLC08000
4/11/2023,Request for Dismissal,2,22NWLC08000
4/11/2023,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1,22NWLC08000
4/11/2023,Declaration : re: 1033,4,22NWLC08000
4/11/2023,Declaration : re:1788,19,22NWLC08000
3/27/2023,Declaration : in Opposition to Order to Show Cause,3,22NWLC08000
5/9/2022,Proof of Personal Service,3,22NWLC08000
4/5/2022,Summons: on Complaint,1,22NWLC08000
4/5/2022,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2,22NWLC08000
4/5/2022,Civil Case Cover Sheet,6,22NWLC08000
4/5/2022,Notice of Case Assignment - Limited Civil Case,1,22NWLC08000
4/5/2022,Complaint,15,22NWLC08000
10/19/2023,Writ of Execution: (los angeles),3,22NWLC08001
10/16/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2,22NWLC08001
7/29/2022,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2,22NWLC08001
6/6/2022,Default Judgment: Default Judgment,2,22NWLC08001
6/3/2022,Declaration : Declaration RE: CCP 1033,3,22NWLC08001
6/3/2022,Declaration : Declaration of Interest,1,22NWLC08001
6/3/2022,Declaration : Declaration of Non Military Service,3,22NWLC08001
6/3/2022,Declaration : Declaration RE: Statement of Evidence,2,22NWLC08001
6/3/2022,Request for Entry of Default / Judgment: Request for Entry of Default / Judgment,2,22NWLC08001
4/18/2022,Proof of Personal Service,3,22NWLC08001
4/6/2022,Summons: on Complaint,1,22NWLC08001
4/6/2022,Civil Case Cover Sheet,6,22NWLC08001
4/6/2022,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2,22NWLC08001
4/6/2022,Notice of Case Assignment - Limited Civil Case,1,22NWLC08001
4/6/2022,Complaint,4,22NWLC08001
6/7/2024,Minute Order: Minute Order (Order to Show Cause Re: Dismissal (Settlement)),1,22NWLC08002
5/21/2024,Declaration : Declaration Order to Show Cause,3,22NWLC08002
4/12/2023,Minute Order: (Non-Jury Trial),1,22NWLC08002
3/8/2023,Notice : Requesting and Requiring Parties to Attend Trial,1,22NWLC08002
3/8/2023,Notice of Trial,2,22NWLC08002
3/2/2023,Declaration : of Non-Military Service,3,22NWLC08002
3/2/2023,Declaration : in Lieu of Personal Testimony,112,22NWLC08002
5/10/2022,Answer,11,22NWLC08002
5/10/2022,Order on Court Fee Waiver (Superior Court),3,22NWLC08002
4/15/2022,Proof of Personal Service,3,22NWLC08002
4/11/2022,Declaration : of Non-Service,1,22NWLC08002
4/6/2022,Notice of Case Assignment - Limited Civil Case,1,22NWLC08002
4/6/2022,Summons: on Complaint,1,22NWLC08002
4/6/2022,Complaint,4,22NWLC08002
4/6/2022,Civil Case Cover Sheet,6,22NWLC08002
4/6/2022,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2,22NWLC08002
,Judgment: [Proposed] After Trial By Court,2,22NWLC08002
3/24/2023,Request for Dismissal,2,22NWLC08003
4/6/2022,Complaint,55,22NWLC08003
4/6/2022,Civil Case Cover Sheet,6,22NWLC08003
4/6/2022,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2,22NWLC08003
4/6/2022,Notice of Case Assignment - Limited Civil Case,1,22NWLC08003
4/6/2022,Summons: on Complaint,1,22NWLC08003
11/16/2022,Proof of Service by Mail,1,22NWLC08004
11/16/2022,Acknowledgment of Satisfaction of Judgment,2,22NWLC08004
7/21/2022,Default Judgment,2,22NWLC08004
7/20/2022,Request for Entry of Default / Judgment,2,22NWLC08004
7/20/2022,Statement of the Case,1,22NWLC08004
7/20/2022,Declaration : Declaration 1033,4,22NWLC08004
7/20/2022,Declaration : Declaration Re non active Military Status,5,22NWLC08004
5/3/2022,Proof of Service by Substituted Service,5,22NWLC08004
4/6/2022,Summons: on Complaint,1,22NWLC08004
4/6/2022,Complaint,3,22NWLC08004
4/6/2022,Civil Case Cover Sheet,6,22NWLC08004
4/6/2022,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2,22NWLC08004
4/6/2022,Notice of Case Assignment - Limited Civil Case,1,22NWLC08004
4/12/2024,Minute Order: (Order to Show Cause Re: default judgment/possible sanctions),1,22NWLC08005
4/11/2023,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1,22NWLC08005
3/23/2023,Notice of Change of Address or Other Contact Information,2,22NWLC08005
3/20/2023,Declaration : REGARDING ORDER TO SHOW CAUSE HEARING,3,22NWLC08005
4/26/2022,Proof of Service by Substituted Service,5,22NWLC08005
4/5/2022,Summons: on Complaint,1,22NWLC08005
4/5/2022,Notice of Case Assignment - Limited Civil Case,1,22NWLC08005
4/5/2022,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2,22NWLC08005
4/5/2022,Civil Case Cover Sheet,6,22NWLC08005
4/5/2022,Complaint,9,22NWLC08005
8/9/2023,Abstract of Judgment - Civil and Small Claims,2,22NWLC08006
11/9/2022,Writ of Execution: (SACRAMENTO),3,22NWLC08006
11/8/2022,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2,22NWLC08006
6/16/2022,Default Judgment,2,22NWLC08006
6/15/2022,Declaration : In Support of Application for Entry of Default Judgment Pursuant to Civil Code 1788.60,18,22NWLC08006
6/15/2022,Declaration : Re: Research to Determine Military Status of Defendant (s); Notice Pursuant to C.C.P. 1033 (b) (2),4,22NWLC08006
6/15/2022,Request for Dismissal,2,22NWLC08006
6/15/2022,Request for Entry of Default / Judgment,3,22NWLC08006
4/12/2022,Proof of Personal Service,3,22NWLC08006
4/5/2022,Notice of Case Assignment - Limited Civil Case,1,22NWLC08006
4/5/2022,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2,22NWLC08006
4/5/2022,Civil Case Cover Sheet,6,22NWLC08006
4/5/2022,Complaint,15,22NWLC08006
4/5/2022,Summons: on Complaint,1,22NWLC08006
11/15/2022,Proof of Service by Mail,1,22NWLC08007
11/15/2022,Acknowledgment of Satisfaction of Judgment,2,22NWLC08007
5/25/2022,Default Judgment,2,22NWLC08007
5/24/2022,Request for Entry of Default / Judgment,2,22NWLC08007
5/24/2022,Statement of the Case,1,22NWLC08007
5/24/2022,Declaration : Re non active Military Status,5,22NWLC08007
5/24/2022,Declaration : 1033,4,22NWLC08007
